Word,Abbreviation
Abnormal,Abnorm
Abuse,Abuse
Academia,Acad
Academy,Acad
Acoustical,Acoust
Actions,Actions
Acupuncture,Acupunct
Acute,Acute
Addiction,Addict
Addictions,Addict
Additives,Addit
Administration,Adm
Adolescence,Adolescence
Adolescent,Adolesc
Advanced,Adv
Advancement,Adv
Advances,Adv
Adverse,Adverse
Aesthetic,Aesthetic
Affairs,Aff
Affective,Affective
African,Afr
Age,Age
Ageing,Ageing
Agents,Agents
Aging,Aging
Air,Air
Alabama,Ala
Alaska,Alaska
Alcohol,Alcohol
Alcoholism,Alcohol
Allergy,Allergy
Allied,Allied
America,Am
American,Am
Anaesthesia,Anaesth
Anaesthetist,Anaesthetist
Anaesthetists,Anaesth
Analgesia,Analg
Anatomical,Anat
Anatomy,Anat
Andrology,Androl
Anesthesia,Anesth
Anesthesiology,Anesthesiol
Angiology,Angiol
Angle,Angle
Animal,Anim
Ankle,Ankle
Annals,Ann
Annual,Annu
Anthropology,Anthropol
Antibiotics,Antibiot
Anticancer,Anticancer
Antigens,Antigens
Antimicrobial,Antimicrob
Antiviral,Antiviral
Apheresis,Apheresis
Appetite,Appetite
Applied,Appl
Archives,Arch
Argentina,Argent
Arizona,Ariz
Arkansas,Ark
Army,Army
Arteriosclerosis,Arterioscl
Artery,Artery
Arthritis,Arthritis
Artificial,Artif
Asian,Asian
Assessment,Assess
Association,Assoc
Asthma,Asthma
Audiology,Audiol
Audiovisual,Audiov
Auditory,Aud
Australia,Aust
Australian,Aust
Autism,Autism
Autonomic,Auton
Avian,Avian
Aviation,Aviat
Bacteriology,Bacteriol
Bangladesh,Bangladesh
Basic,Basic
Behavior,Behav
Behavioral,Behav
Behaviors,Behav
Biochemical,Biochem
Biochemistry,Biochem
Biocommunications,Biocomm
Biofeedback,Biofeedback
Biological,Biol
Biology,Biol
Biomaterials,Biomater
Biomechanical,Biomech
Biomedical,Biomed
Biometrics,Biometrics
Biophysical,Biophys
Biophysics,Biophys
Bioscience,Biosci
Biosocial,Biosoc
Biosystems,Biosystems
Biotechnological,Biotechnol
Biotechnology,Biotechnol
Birth,Birth
Blood,Blood
Bone,Bone
Brain,Brain
Brazilian,Braz
Breast,Breast
British,Br
Bulletin,Bull
Burns,Burns
Calcified,Calcif
Calcium,Calcium
Canadian,Can
Cancer,Cancer
Carbohydrate,Carbohydr
Carcinogenesis,Carcinog
Carcinogenic,Carcinog
Cardiography,Cardiogr
Cardiology,Cardiol
Cardiovascular,Cardiovasc
Care,Care
Caries,Caries
Catheterization,Cathet
Cell,Cell
Cells,Cells
Cellular,Cell
Central,Cent
Cephalalgia,Cephalalgia
Cerebral,Cereb
Ceylon,Ceylon
Chemical,Chem
Chemicals,Chem
Chemistry,Chem
Chemists,Chem
Chemotherapy,Chemother
Chest,Chest
Child,Child
Childhood,Child
Children,Child
Childs,Childs
Chinese,Chin
Chromatographic,Chromatogr
Chromatography,Chromatogr
Chronic,Chronic
Chronicle,Chron
Circulation,Circ
Circulatory,Circ
Cleft,Cleft
Cleveland,Cleve
Clinic,Clin
Clinical,Clin
Clinics,Clin
Cognition,Cogn
Collagen,Coll
College,Coll
Colon,Colon
Colorado,Colo
Communicable,Commun
Communication,Commun
Communications,Commun
Community,Community
Comparative,Comp
Complement,Complement
Comprehensive,Compr
Computerized,Comput
Computers,Comput
Connecticut,Conn
Connective,Connect
Consulting,Consult
Contact,Contact
Contaminants,Contam
Contamination,Contam
Contemporary,Contemp
Contributions,Contrib
Control,Control
Controlled,Control
Copenhagen,Copenh
Cornea,Cornea
Cornell,Cornell
Corps,Corps
Cortex,Cortex
Council,Counc
Craniofacial,Craniofac
Critical,Crit
Cryobiology,Cryobiol
Culture,Cult
Current,Curr
Currents,Curr
Cutaneous,Cutan
Cutis,Cutis
Cybernetics,Cybern
Cyclic,Cyclic
Cytogenetics,Cytogenet
Cytology,Cytol
Cytometry,Cytometry
Dairy,Dairy
Danish,Dan
Deaf,Deaf
Decision,Decis
Defects,Defects
Deficiency,Defic
Delivery,Deliv
Demography,Demogr
Dental,Dent
Dentistry,Dent
Dependencies,Dependencies
Dermatitis,Dermatitis
Dermatological,Dermatol
Dermatology,Dermatol
Dermatopathology,Dermatopathol
Detection,Detect
Development,Dev
Devices,Devices
Diabetes,Diabetes
Diagnosis,Diagn
Diagnostic,Diagn
Dialysis,Dial
Diarrhoeal,Diarrhoeal
Dietetic,Diet
Differentiation,Differ
Digestion,Digestion
Digestive,Dig
Dimensions,Dimens
Directions,Dir
Directors,Dir
Discussions,Discuss
Disease,Dis
Diseases,Dis
Disorders,Disord
Disposition,Dispos
DNA,DNA
Drug,Drug
Drugs,Drugs
Ear,Ear
Early,Early
East African,East Afr
Economic,Econ
Ecotoxicology,Ecotoxicol
Educational,Educ
Egyptian,Egypt
Electrocardiology,Electrocardiol
Electroencephalography,Electroencephalogr
Electromyography,Electromyogr
Electron,Electron
Electrotherapeutics,Electrother
Embryo,Embryo
Embryology,Embryol
Emergency,Emerg
Endocrine,Endocr
Endocrinological,Endocrinol
Endocrinology,Endocrinol
Endoscopy,Endosc
Engineering,Eng
Enteral,Enteral
Entomology,Entomol
Environmental,Environ
Enzyme,Enzyme
Enzymology,Enzymol
Epidemiologic,Epidemiol
Epidemiology,Epidemiol
Ergology,Ergol
Ergonomics,Ergonomics
Essays,Essays
Ethics,Ethics
Eugenics,Eugen
European,Eur
Evaluation,Eval
Exceptional,Except
Exercise,Exerc
Experimental,Exp
Eye,Eye
Factors,Factors
Family,Fam
Federation,Fed
Fertility,Fertil
Finnish,Finn
Fitness,Fitness
Florida,Fla
Food,Food
Foot,Foot
Forensic,Forensic
Foundation,Found
Function,Funct
Fundamental,Fundam
Gastroenterology,Gastroenterol
Gastrointestinal,Gastrointest
Gene,Gene
General,Gen
Genetic,Genet
Genetics,Genetics
Genitourinary,Genitourin
Geographical,Geogr
Georgia,Ga
Geriatric,Geriatr
Geriatrics,Geriatr
Gerontologist,Gerontologist
Gerontology,Gerontol
Group,Group
Groups,Groups
Growth,Growth
Gut,Gut
Gynaecological,Gynaecol
Gynaecology,Gynaecol
Gynecologic,Gynecol
Gynecology,Gynecol
Haematology,Haematol
Haemostasis,Haemost
Hastings Center,Hastings Cent
Hawaii,Hawaii
Head,Head
Headache,Headache
Health,Health
Hearing,Hear
Heart,Heart
Hematological,Hematol
Hematology,Hematol
Hemoglobin,Hemoglobin
Hemostasis,Hemost
Hepatology,Hepatol
Heredity,Hered
Hip,Hip
Histochemical,Histochem
Histochemistry,Histochem
Histology,Histol
Histopathology,Histopathol
History,Hist
Homosexuality,Homosex
Horizons,Horiz
Hormone,Horm
Hormones,Horm
Hospital,Hosp
Hospitals,Hospitals
Human,Hum
Humans,Hum
Hybridoma,Hybridoma
Hygiene,Hyg
Hypertension,Hypertens
Hypnosis,Hypn
Hypotheses,Hypotheses
Imaging,Imaging
Immunity,Immun
Immunoassay,Immunoassay
Immunobiology,Immunobiol
Immunogenetics,Immunogenet
Immunological,Immunol
Immunology,Immunol
Immunopharmacology,Immunopharmacol
Immunotherapy,Immunother
Implant,Implant
Including,Incl
India,India
Indian,Indian
Indiana,Indiana
Industrial,Ind
Infection,Infect
Infectious,Infect
Inflammation,Inflamm
Informatics,Inform
Information,Inf
Inherited,Inherited
Injury,Inj
Inorganic,Inorg
Inquiry,Inquiry
Institutes,Inst
Instrumentation,Instrum
Insurance,Insur
Intellectual,Intellect
Intelligence,Intell
Intensive,Intensive
Interactions,Interact
Interferon,Interferon
Internal,Intern
International,Int
Internist,Internist
Interventional,Intervent
Intervirology,Intervirol
Intraocular,Intraocul
Invasion,Invasion
Invertebrate,Invertebr
Investigation,Invest
Investigational,Investig
Investigations,Invest
Investigative,Invest
In Vitro,In Vitro
In Vivo,In Vivo
Iowa,Iowa
Irish,Ir
Isotopes,Isot
Isozymes,Isozymes
Israel,Isr
Issues,Issues
Istanbul,Istanbul
Japanese,Jpn
Joint,Joint
Journal,J
Kansas,Kans
Kentucky,Ky
Kidney,Kidney
Kinetics,Kinet
Laboratory,Lab
Language,Lang
Laparoendoscopic,Laparoendosc
Laryngology,Laryngol
Larynx,Larynx
Lasers,Lasers
Law,Law
Lectures,Lect
Legal,Leg
Leprosy,Lepr
Letters,Lett
Leukocyte,Leukoc
Leukotriene,Leukotriene
Leukotrienes,Leukotrienes
Library,Libr
Life,Life
Life-threatening,Life Threat
Lipid,Lipid
Lipids,Lipids
Literature,Lit
Louisiana,La
Lung,Lung
Lymphokine,Lymphokine
Lymphology,Lymphol
Madagascar,Madagascar
Magnesium,Magnesium
Magnetic,Magn
Main,Main
Making,Making
Malaysia,Malaysia
Management,Manage
Manipulative,Manipulative
Marital,Marital
Maritime,Marit
Maryland,Md
Mass,Mass
Mathematical,Math
Maxillofacial,Maxillofac
Measurement,Meas
Mechanisms,Mech
Media,Media
Medical,Med
Medicinal,Med
Medicine,Med
Membrane,Membr
Mental,Ment
Metabolic,Metab
Metabolism,Metab
Metastasis,Metastasis
Methods,Methods
Mexico,Mex
Michigan,Mich
Microbial,Microb
Microbiological,Microbiol
Microbiology,Microbiol
Microcirculation,Microcirc
Microscopy,Microsc
Microvascular,Microvasc
Microwave,Microw
Military,Milit
Mineral,Miner
Minnesota,Minn
Mississippi,Miss
Missouri,Mo
Modification,Modif
Molecular,Mol
Monographs,Monogr
Morphology,Morphol
Motility,Motil
Muscle,Muscle
Mutagenesis,Mutagen
Mutation,Mutat
Mycobacterial,Mycobact
Narcotics,Narc
National,Natl
Natural,Nat
Nature,Nat
Naval,Nav
Nebraska,Nebr
Neck,Neck
Neglect,Negl
Neonate,Neonate
Nephrology,Nephrol
Nephron,Nephron
Nervosa,Nerv
Nervous,Nerv
Netherlands,Neth
Neural,Neural
Neurobehavioral,Neurobehav
Neurobiology,Neurobiol
Neurochemistry,Neurochem
Neurocytology,Neurocytol
Neuroendocrinology,Neuroendocrinol
Neurogenetics,Neurogenet
Neuroimmunology,Neuroimmunol
Neurologic,Neurol
Neurological,Neurol
Neurology,Neurol
Neuropathology,Neuropathol
Neuropediatrics,Neuropediatr
Neuropeptides,Neuropeptides
Neuropharmacology,Neuropharmacol
Neurophysiology,Neurophysiol
Neuropsychobiology,Neuropsychobiol
Neuropsychology,Neuropsychol
Neuropsychopharmacology,Neuropsychopharmacol
Neuroradiology,Neuroradiol
Neuroscience,Neurosci
Neurosurgery,Neurosurg
Neurosurgical,Neurosurg
Neurotoxicology,Neurotoxicol
Neurotrauma,Neurotrauma
New,N
New England,N Engl
New Jersey,N J
New Orleans,New Orleans
New York,N Y
New Zealand,N Z
North America,North Am
North Carolina,N C
Nose,Nose
Nuclear,Nucl
Nucleotide,Nucleotide
Nurse,Nurse
Nursing,Nurs
Nutrition,Nutr
Nutritional,Nutr
Obesity,Obes
Obstetric,Obstet
Obstetrics,Obstet
Occupational,Occup
Ocular,Ocul
Official,Off
Ohio,Ohio
Oklahoma,Okla
Oncology,Oncol
Ophthalmic,Ophthalmic
Ophthalmological,Ophthalmol
Ophthalmology,Ophthalmol
Optical,Opt
Optics,Opt
Optometric,Optom
Optometry,Optom
Oral,Oral
Organization,Organ
Organs,Organs
Orthodontics,Orthod
Orthodontist,Orthod
Orthopaedic,Orthop
Orthopsychiatry,Orthopsychiatry
Orthotics,Orthot
Osaka,Osaka
Oslo,Oslo
Osteopathic,Osteopath
Otolaryngology,Otolaryngol
Otology,Otol
Otorhinolaryngology,Otorhinolaryngol
Pace,Pace
Paediatric,Paediatr
Paediatrics,Paediatr
Palate,Palate
Panama,Panama
Pan American,Pan Am
Paper,Pap
Papua New Guinea,Papua New Guinea
Parasite,Parasite
Parasitology,Parasitol
Parenteral,Parenter
Pathology,Pathol
Pediatrician,Pediatrician
Pediatrics,Pediatr
Pennsylvania,Pa
Peptide,Pept
Peptides,Pept
Perception,Perception
Perceptual,Percept
Perinatal,Perinat
Perinatology,Perinatol
Periodontal,Periodont
Periodontology,Periodontol
Personality,Pers
Perspectives,Perspect
Pharmaceutical,Pharm
Pharmacokinetics,Pharmacokinet
Pharmacology,Pharmacol
Pharmacopsychiatry,Pharmacopsychiatry
Pharmacotherapy,Pharmacother
Pharmacy,Pharm
Philosophical,Philos
Phosphorylation,Phosphorylation
Photobiology,Photobiol
Photochemistry,Photochem
Photodermatology,Photodermatol
Photography,Photogr
Physical,Phys
Physician,Physician
Physicians,Physicians
Physics,Phys
Physiological,Physiol
Physiology,Physiol
Placenta,Placenta
Planning,Plann
Plastic,Plast
Podiatric,Podiatr
Podiatry,Podiatry
Poisoning,Poisoning
Policy,Policy
Politics,Polit
Pollution,Pollut
Population,Popul
Postgraduate,Postgrad
Poultry,Poult
Practice,Pract
Practitioners,Pract
Pregnancy,Pregnancy
Prenatal,Prenat
Preparative,Prep
Prevention,Prev
Preventive,Prev
Primary,Primary
Primatology,Primatol
Proceedings,Proc
Process,Process
Processes,Processes
Products,Prod
Programs,Programs
Progress,Prog
Prostaglandin,Prostaglandin
Prostaglandins,Prostaglandins
Prostate,Prostate
Prosthetic,Prosthet
Prosthetics,Prosthet
Protein,Protein
Protozoology,Protozool
Psyche,Psyche
Psychiatric,Psychiatr
Psychiatry,Psychiatry
Psychoactive,Psychoactive
Psychoanalysis,Psychoanal
Psychoanalytic,Psychoanal
Psycholinguistic,Psycholinguist
Psychologist,Psychol
Psychology,Psychol
Psychoneuroendocrinology,Psychoneuroendocrinol
Psychopathology,Psychopathol
Psychopharmacology,Psychopharmacol
Psychophysiology,Psychophysiol
Psychosocial,Psychosoc
Psychosomatic,Psychosom
Psychosomatics,Psychosom
Psychotherapy,Psychother
Public,Public
Puerto Rico,P R
Quantitative,Quant
Quarterly,Q
Radiation,Radiat
Radiography,Radiogr
Radioisotopes,Radioisotopes
Radiologists,Radiol
Radiology,Radiol
Rational,Ration
Reactions,React
Recombinant,Recomb
Reconstructive,Reconstr
Record,Rec
Rectum,Rectum
Regional,Reg
Regulation,Regul
Regulatory,Regul
Rehabilitation,Rehabil
Renal,Renal
Report,Rep
Reports,Rep
Reproduction,Reprod
Reproductive,Reprod
Research,Res
Residue,Residue
Resonance,Reson
Respiration,Respir
Respiratory,Respir
Response,Response
Resuscitation,Resuscitation
Retardation,Retard
Retina,Retina
Review,Rev
Reviews,Rev
Rheumatic,Rheum
Rheumatism,Rheum
Rheumatology,Rheumatol
Rhinology,Rhinol
Rhode Island,R I
Safety,Safety
Scandinavian,Scand
Scanning,Scan
Schizophrenia,Schizophr
School,Sch
Science,Sci
Sciences,Sci
Scientific,Sci
Scottish,Scott
Security,Secur
Seminars,Semin
Series,Ser
Service,Serv
Sex,Sex
Sexual,Sex
Sexually,Sex
Shock,Shock
Singapore,Singapore
Skeletal,Skeletal
Sleep,Sleep
Social,Soc
Societies,Soc
Society,Soc
Sociological,Sociol
Sociology,Sociol
Somatic,Somatic
Somatosensory,Somatosens
South African,S Afr
South Carolina,S C
South Dakota,S D
Southeast,Southeast
Southern,South
Space,Space
Spectrometry,Spectrom
Speech,Speech
Spine,Spine
Sports,Sports
Stain,Stain
Standardization,Stand
Standards,Stand
Statistical,Stat
Steroid,Steroid
Steroids,Steroids
Stockholm,Stockh
Strabismus,Strabismus
Stress,Stress
Stroke,Stroke
Structure,Struct
Studies,Stud
Subcellular,Subcell
Submicroscopic,Submicrosc
Substance,Subst
Suicide,Suicide
Superior,Super
Support,Support
Surgeon,Surg
Surgeons,Surg
Surgery,Surg
Surgical,Surg
Swedish,Swed
Symposia,Symp
Symposium,Symp
System,Syst
Systems,Syst
Technical,Tech
Technology,Technol
Tennessee,Tenn
Teratogenesis,Teratogenesis
Teratology,Teratol
Thailand,Thai
Theoretical,Theor
Therapeutics,Ther
Therapies,Ther
Therapy,Ther
Thermal,Therm
Thoracic,Thorac
Thorax,Thorax
Throat,Throat
Thrombosis,Thromb
Thromboxane,Thromboxane
Thymus,Thymus
Tissue,Tissue
Today,Today
Tokyo,Tokyo
Tomography,Tomogr
Topics,Top
Total,Total
Toxicologic,Toxicol
Toxicological,Toxicol
Toxicology,Toxicol
Traditional,Tradit
Transactions,Trans
Transfer,Transfer
Transfusion,Transfusion
Transmission,Transm
Transmitted,Transm
Transplant,Transplant
Transplantation,Transplantation
Traumatic,Trauma
Tropical,Trop
Tuberculosis,Tuberc
Tumor,Tumor
Tumour,Tumour
Tunis,Tunis
Turkish,Turk
Ulster,Ulster
Ultramicroscopy,Ultramicrosc
Ultrasonic,Ultrason
Ultrasonics,Ultrasonics
Ultrasound,Ultrasound
Ultrastructural,Ultrastruct
Ultrastructure,Ultrastruct
Undersea,Undersea
Union,Union
Uremia,Uremia
Vision,Vis
Visual,Vis
Vital,Vital
Vitamin,Vitam
Vitaminology,Vitaminol
Vitamins,Vitam
Vitro,Vitro
Vivo,Vivo
Welfare,Welfare
Western,West
West Indian,West Indian
West Virginia,W Va
Wildlife,Wildl
Wisconsin,Wis
Women,Women
Women's,Womens
Zoology,Zool
Zoonoses,Zoonoses
of,
in,
and,
&,